Site Name ,Alt name or num ,Country ,Y ,X ,Refrences ,14C,Bot ,Zoo
Alibori Sill,,Benin,11.95,3.22,(Champion and Fuller 2018; Fuller and Stevens 2018),,yes,
Birnin Lafiya,alt spelling: Birni Lafia,Benin,11.97,3.22,(Champion and Fuller 2018; Fuller and Stevens 2018; Haour et al. 2016),yes,yes, 
Bogo-Bogo,,Benin,12.1,3.1,(Champion and Fuller 2018; Moga 2008),,yes, 
DO 00,,Benin,6.44,2.58,(Clist 2005),yes,, 
GOHO.00,,Benin,6.53,2.38,(Clist 2005),yes,, 
Goroberi,,Benin,11.94,3.23,(Clist 2005),,yes, 
Guene zeno,,Benin,11.73,3.21,(Moga 2008),,yes, 
Kantoro,,Benin,11.81,3.22,(Champion and Fuller 2018; Fuller and Stevens 2018),,yes, 
Kargui,,Benin,11.94,3.23,(Moga 2008),,yes, 
Kompa Dune,,Benin,12.24,3.01,(De Maret 1985a),yes,, 
Kompa Moussékoubou ,,Benin,12.24,3.01,(Robion-Brunner et al. 2015),yes,, 
Kozungu,SI and SII,Benin,11.98,3.23,(Moga 2008),,yes, 
Madekali,,Benin,11.7,3.55,(Moga 2008),,yes, 
Madekali Road,,Benin,11.7,3.55,(Champion and Fuller 2018; Fuller and Stevens 2018),,yes, 
Pekinga,,Benin,12.35,2.85,(Moga 2008),,yes, 
Tannou,,Benin,6.39,2.3,(Clist 2005),,, 
Tintin,,Benin,12.12,3.14,(Champion and Fuller 2018),,yes, 
YEV-1,,Benin,6.61,2.6,(Clist 2005),yes,, 
Kawara,,Burkina Faso,10.63,-5.25,(Linseele 2007),yes,, 
Batenga,,BurkinaFaso,12.83,-1.37,(Huysecom et al. 2014),yes,, 
Bena,Bwamu (Banwa?),BurkinaFaso,12.07,-4.18,(Dupré and Pinçon 1997),,, 
Corcoba,BF 97/5,BurkinaFaso,14.69,-0.47,(Breunig and Neumann 2002; Linseele 2007; Linseele 2010),yes,yes,yes 
Diekono,,BurkinaFaso,12.62,-3.36,(Schwartz et al. 1991),,, 
Dori 94/40,BF 94/40,BurkinaFaso,14.07,-0.02,(Breunig and Neumann 2002; Linseele 2007; Linseele 2010),yes,yes,yes
Dori 94/96,BF 94/96,BurkinaFaso,14.06,-0.02,(Breunig and Neumann 2002; Linseele 2007; Linseele 2010),yes,yes,yes
Fadar,BF 96/40,BurkinaFaso,15.02,-0.68,(Breunig and Neumann 2002; Dupré and Pinçon 1997),yes,, 
Kaya,,BurkinaFaso,13.1,-1.09,(Oslisly 1993),,, 
Kerebe Sira Tomo,Kebe Sira Kan Tomo,BurkinaFaso,12.61,-3.34,(Holl 2009b),yes,, 
