"labCode","siteName","long","lat","c14date","c14std","material","country","dataorigin","ID","siteID"
"Pta-9167","Basinghall",27.133,-23.513,870,45,"charcoal","Botswana","SARD",1,70
"Pta-9169","Basinghall",27.133,-23.513,760,50,"charcoal","Botswana","SARD",2,70
"Pta-9303","Basinghall",27.13,-23.51,300,15,"charcoal","Botswana","SARD",3,70
"Pta-9392","Basinghall",27.133,-23.513,1010,40,"charcoal","Botswana","SARD",4,70
"Pta-9442","Basinghall",27.133,-23.513,670,50,"charcoal","Botswana","SARD",5,70
"UGAMS-03982","Basinghall",27.13,-23.51,315,25,"","Botswana","SARD",6,70
"Pta-5947","Beauley",28.97,-23.12,850,50,"charcoal","South Africa","SARD",7,73
"Pta-5948","Beauley",28.97,-23.12,1120,50,"charcoal","South Africa","SARD",8,73
"Pta-5951","Beauley",28.97,-23.12,1135,50,"wood","South Africa","SARD",9,73
"I-12708","Bisoli",27.6,-21.02,1240,80,"charcoal","Botswana","SARD",10,84
"Wits-1099","Bisoli",27.6,-21.02,1340,60,"charcoal","Botswana","SARD",11,84
"Pta-2849","Blaauwbank Donga (RU 7/78)",27.79,-24.81,370,30,"charcoal","South Africa","SARD",12,85
"Pta-162","Blackburn Ridge",31.064,-29.691,900,40,"charcoal","South Africa","SARD",13,86
"Pta-7273","Blyklip",29.283,-22.317,330,40,"charcoal","South Africa","SARD",14,87
"Pta-7280","Blyklip",29.283,-22.317,340,45,"charcoal","South Africa","SARD",15,87
"Beta-62740","Bobonong Road",28.8,-22.25,810,70,"charcoal","Botswana","SARD",16,89
"Pta-703","Border Cave",31.983,-27.017,500,45,"plant remains","South Africa","SARD",17,92
"Pta-715","Border Cave",31.983,-27.017,440,60,"plant remains","South Africa","SARD",18,92
"Beta-159776","Bosutswe",26.611,-21.953,400,50,"","Botswana","SARD",19,93
"Beta-159777","Bosutswe",26.611,-21.953,370,50,"","Botswana","SARD",20,93
"Beta-159778","Bosutswe",26.611,-21.953,570,60,"","Botswana","SARD",21,93
"Beta-159779","Bosutswe",26.611,-21.953,590,60,"","Botswana","SARD",22,93
"Beta-159780","Bosutswe",26.611,-21.953,850,40,"","Botswana","SARD",23,93
"Beta-159781","Bosutswe",26.611,-21.953,830,70,"","Botswana","SARD",24,93
"Beta-171912","Bosutswe",26.611,-21.953,740,60,"","Botswana","SARD",25,93
"Beta-171913","Bosutswe",26.611,-21.953,970,60,"","Botswana","SARD",26,93
"Beta-171914","Bosutswe",26.611,-21.953,470,60,"","Botswana","SARD",27,93
"Beta-171915","Bosutswe",26.611,-21.953,660,60,"","Botswana","SARD",28,93
"Beta-171916","Bosutswe",26.611,-21.953,360,60,"","Botswana","SARD",29,93
"Beta-171917","Bosutswe",26.611,-21.953,950,60,"","Botswana","SARD",30,93
"TX-6967","Bosutswe",26.611,-21.953,590,70,"","Botswana","SARD",31,93
"TX-6981","Bosutswe",26.611,-21.953,900,70,"","Botswana","SARD",32,93
"TX-6982","Bosutswe",26.611,-21.953,1170,80,"","Botswana","SARD",33,93
"TX-6983","Bosutswe",26.611,-21.953,680,70,"","Botswana","SARD",34,93
"TX-6985","Bosutswe",26.611,-21.953,1070,60,"","Botswana","SARD",35,93
"TX-6987","Bosutswe",26.611,-21.953,850,70,"","Botswana","SARD",36,93
"TX-6988","Bosutswe",26.611,-21.953,520,60,"","Botswana","SARD",37,93
"TX-6991","Bosutswe",26.611,-21.953,1400,60,"","Botswana","SARD",38,93
"TX-6992","Bosutswe",26.611,-21.953,1200,60,"","Botswana","SARD",39,93
"TX-6993","Bosutswe",26.611,-21.953,1020,70,"","Botswana","SARD",40,93
"TX-6994","Bosutswe",26.611,-21.953,1370,60,"","Botswana","SARD",41,93
"TX-6995","Bosutswe",26.611,-21.953,1070,60,"","Botswana","SARD",42,93
"TX-6996","Bosutswe",26.611,-21.953,980,80,"","Botswana","SARD",43,93
"TX-6997","Bosutswe",26.611,-21.953,1230,60,"","Botswana","SARD",44,93
"Beta-93179","Break Pressure Tank",27.58,-22.24,1100,60,"","Botswana","SARD",45,94
"Beta-93180","Break Pressure Tank",27.58,-22.24,890,70,"","Botswana","SARD",46,94
"Wits-837","Broadhurst",25.95,-24.533,590,50,"charcoal","Botswana","SARD",47,95
"Fra-82","Broederstroom",27.835,-25.769,1450,100,"charcoal","South Africa","SARD",48,96
"Fra-84","Broederstroom",27.835,-25.769,290,100,"charcoal","South Africa","SARD",49,96
"Fra-85","Broederstroom",27.835,-25.769,1360,100,"charcoal","South Africa","SARD",50,96
"Fra-88","Broederstroom",27.835,-25.769,1320,100,"charcoal","South Africa","SARD",51,96
"KN-2641","Broederstroom",27.835,-25.769,1350,80,"charcoal","South Africa","SARD",52,96
"KN-2642","Broederstroom",27.835,-25.769,330,50,"charcoal","South Africa","SARD",53,96
"KN-2643","Broederstroom",27.835,-25.769,1600,50,"charcoal","South Africa","SARD",54,96
"KN-2644","Broederstroom",27.835,-25.769,1570,65,"charcoal","South Africa","SARD",55,96
"Pta-1343","Broederstroom",27.835,-25.769,1300,40,"bone","South Africa","SARD",56,96
"Pta-1375","Broederstroom",27.84,-25.77,1540,40,"charcoal","South Africa","SARD",57,96
"Pta-1384","Broederstroom",27.835,-25.769,1220,40,"bone","South Africa","SARD",58,96
"RL-351","Broederstroom",27.835,-25.769,1520,110,"charcoal","South Africa","SARD",59,96
"UCLA-1791A","Broederstroom",27.835,-25.769,1460,50,"charcoal","South Africa","SARD",60,96
"UCLA-1791B","Broederstroom",27.835,-25.769,1490,50,"charcoal","South Africa","SARD",61,96
"Wits-1474","Broederstroom",27.835,-25.769,1335,60,"","South Africa","SARD",62,96
"Wits-781a","Broederstroom",27.835,-25.769,1530,50,"charcoal","South Africa","SARD",63,96
"Wits-870","Broederstroom",27.835,-25.769,1440,50,"charcoal","South Africa","SARD",64,96
"Pta-2166","Buffelshoek",27.369,-26.796,350,30,"","South Africa","SARD",65,97
"Pta-2380","Buffelshoek",27.369,-26.796,300,50,"","South Africa","SARD",66,97
"Pta-8949","Burgersfort",30.32,-24.68,1320,50,"charcoal","South Africa","SARD",67,99
"St-8873","Caimane",32.13,-26.32,880,210,"charcoal","Mozambique","SARD",68,100
"St-8874","Caimane",32.13,-26.32,715,90,"plant remains","Mozambique","SARD",69,100
"ETH-5127","Camp Workings (Rooiberg Valley)",27.77,-24.8,395,55,"charcoal","South Africa","SARD",70,101
"GrN-5138","Camp Workings (Rooiberg Valley)",27.77,-24.8,435,45,"wood","South Africa","SARD",71,101
