"labCode","siteName","lat","long","c14date","c14std","country","siteID"
"BETA-55052","Hallan Cemi Tepsi",38.31,41.27,10590,170,"Turkey",1
"GrN-8103","Cayönü",38.23,39.65,10430,80,"Turkey",2
"ETH-39511","Kortik Tepe",37.823,40.9719,10100,60,"Turkey",3
"FN-1138Ac","Akrotiri Aetokremnos",34.6021,32.9551,10045,69,"Cyprus",4
"OxA-12488","Demirköy Höyük",37.8833,41.0833,9930,50,"Turkey",5
"Muse41/SacA-25310","Klimonas",34.7163,33.1292,9590,50,"Cyprus",6
"Hd-20036","Göbekli",37.2167,38.9167,9559,53,"Turkey",7
"AA-49102","Mezraa Teleilat",38.4833,37.4167,9324,59,"Turkey",8
"OxA-7460","Kissonerga-Mylouthkia",34.825,32.42,9315,60,"Cyprus",9
"Ly-290","Parekklisha-Shillourokambos",34.7458,33.1583,9310,80,"Cyprus",10
"OxA-5500","Pınarbaşı",38.7222,36.3911,9290,80,"Turkey",11
"OxA-8303","Nevali Cori",37.5833,38.65,9280,55,"Turkey",12
"P-2972","Khirokitia/Shillourokambos",34.8,33.35,9240,130,"Cyprus",13
"OxA-27408","Akanthou–Arkosyko",35.4041,33.7479,9050,39,"Cyprus",14
"GifA-100396","Kaletepe",38.28,34.57,9030,80,"Turkey",15
"Ly-4437","Cafer Höyük",38.46,38.78,8950,80,"Turkey",16
"GrN-19116","Asikli Höyük",38.37,34.25,8920,50,"Turkey",17
"Beta-138548","Akarcay Tepe",36.9167,38.0167,8750,40,"Turkey",18
"BM-127","Hacilar Aceramic",37.58,30.08,8700,180,"Turkey",19
"Beta-13216","Gritille",37.55,38.567,8610,90,"Turkey",20
"Beta-183650","Kritou-Marottou",34.9292,32.5625,8600,40,"Cyprus",21
"HU-11","Canhasan III",37.5,33.5,8584,65,"Turkey",22
"KIA-30926","Musular",38.34,34.22,8450,45,"Turkey",23
"GrN-12510","Hayaz Höyük",37.4,37.95,8300,60,"Turkey",24
"P-1391","Suberde",37.34,31.95,8249,91,"Turkey",25
"GrN-3039","Elateia",38.61,22.73,8240,110,"Greece",26
"Q-655","Nea Nikomedeia",40.6,22.25,8180,150,"Greece",27
"UCLA-1657A","Argissa Magoula",39.63,22.46,8130,100,"Greece",28
"OxA-9775","Çatal Höyük",37.65,32.8167,8090,55,"Turkey",29
"CAMS-21733","Theopetra Cave",38.46,23.23,8070,60,"Greece",30
