Entry ID,Site ID,Site Name ,Country,Country Region,Vegetation Cover  ,Latitude,Longitude,Trench/Site Notes ,Context,Date Type,Labcode,Date BP,Date BP SD,Min Chronology (Calibrated BCE/CE) ,Max Chronology  (Calibrated BCE/CE),Mean Chronology  (Calibrated BCE/CE) ,Min Chronology (Calibrated BP - 1950),Max Chronology  (Calibrated BP - 1950),Mean Chronology  (Calibrated BP - 1950) ,Dated Material,Dated Taxon,Indet Millet,Finger Millet (Eleusine coracana),Pearl Millet (Pennisetum glaucum),Sorghum (Sorghum bicolor),Lablab (Lablab purpureus),Vigna sp.,Mung Bean (Vigna radiata),Cowpea (Vigna unguiculata),Rice (Oryza sativa),Peas (Pisum),Triticoid,Wheat (Triticum sp.) ,Legumes Beans?,Red Dates (Ziziphus jujuba),Indet. Nuts,Coconuts (Cocos nucifera),Fig (Ficus sp.) ,Baobab (Adansonia digitata),Cotton (Gossypium sp.),Other,Wild Terrestrial Fauna ,Avian Fauna ,Aquatic Fauna,Indet. Bones,Bovids,Cattle (Bos taurus/indicus),Sheep (Ovis aries),Goat (Capra hircus),Sheep/Goat (Ovis/Capra Indet.),Camel (Camelus dromedarius),Donkey (Equus asinus),Chicken (Gallus gallus),Iron Smelting,Iron Use,Ceramics,Ceramic Phase (Pottery Ware),Regional Cultural Phase (Eastern Africa),General Notes,MEAN GRADE: Chrono Hygiene 1 and 2 (Stratigraphic integrity  +  SD scores),Chrono Hygiene 3: Plant Material (long/short) C14 dates,Chrono Hygiene 4: Material (reservoir issues) C14 dates,Chrono Hygiene 5: Accuracy (pre-treatment) C14 dates,Date of Publication,Reference 1,DOI Reference 1,Reference 2,DOI Reference 2,Reference 3,DOI Reference 3,Reference 4,DOI Reference 4,Reference 5,DOI Reference 5
1,1,Kabusanze,Rwanda,Rwanda,Forest/wood/grassland mosaic ,-2.659455045,29.62069629,BPS36,Pit fill,c14,OxA-19517,1610,26,417,543,480,1533,1407,1470,Charcoal,Plantae,,,Yes,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Urewe ,EIA,Iron Age (IA) Classic Urewe,B,C,,A,2011,"Giblin, J., & Fuller, D. (2011). First and second millennium AD agriculture in Rwanda: archaeobotanical finds and radiocarbon dates from seven sites. Vegetation History and Archaeobotany, 20, 253-265. doi:10.1007/s00334-011-0288-0",DOI:10.1007/s00334-011-0288-0,"Giblin, J. D. (2008). New Work on the Later Archaeology of Rwanda 2006 to 2007 : A Preliminary Fieldwork Report. Nyame Akuma, 45-55. ",https://www.academia.edu/813429/New_work_on_the_later_archaeology_of_Rwanda_2006_to_2007_A_preliminary_fieldwork_report,"Giblin, J., & Humphris, J. (2010). An Urewe burial in Rwanda: Exchange, health, wealth and violence c. AD 400. Azania: Archaeological Research in Africa, 45, 276-297. doi:10.1080/0067270X.2010.521677",https://doi.org/10.1080/0067270X.2010.521677,,,"Giblin, J. D. (2010). Re-constructing the past in post-genocide Rwanda: an archaeological contribution. (Phd Dissertation), University College London, London.",https://doi.org/10.1080/0067270X.2010.521680
2,1,Kabusanze,Rwanda,Rwanda,Forest/wood/grassland mosaic ,-2.659455045,29.62069629,BPS36,Burial fill,c14,OxA-19518,1630,26,411,538,475,1539,1412,1476,Charcoal,Plantae,,,,,,,,,,,,,,,,,,,,Polygonaceae,,,,,,,,,,,,,,Yes,Yes,Urewe ,EIA,"IA Classic Urewe: burial contained two collections of iron objects: small pot with six iron beads, broken object and bracelet; 2 bracelets, necklet, and hollow disc",B,C,,A,2011,"Giblin, J., & Fuller, D. (2011). First and second millennium AD agriculture in Rwanda: archaeobotanical finds and radiocarbon dates from seven sites. Vegetation History and Archaeobotany, 20, 253-265. doi:10.1007/s00334-011-0288-1",DOI:10.1007/s00334-011-0288-0,"Giblin, J. D. (2008). New Work on the Later Archaeology of Rwanda 2006 to 2007 : A Preliminary Fieldwork Report. Nyame Akuma, 45-55. ",https://www.academia.edu/813429/New_work_on_the_later_archaeology_of_Rwanda_2006_to_2007_A_preliminary_fieldwork_report,"Giblin, J., & Humphris, J. (2010). An Urewe burial in Rwanda: Exchange, health, wealth and violence c. AD 400. Azania: Archaeological Research in Africa, 45, 276-297. doi:10.1080/0067270X.2010.521678",https://doi.org/10.1080/0067270X.2010.521678,,,"Giblin, J. D. (2010). Re-constructing the past in post-genocide Rwanda: an archaeological contribution. (Phd Dissertation), University College London, London.",https://doi.org/10.1080/0067270X.2010.521680
3,1,Kabusanze,Rwanda,Rwanda,Forest/wood/grassland mosaic ,-2.659455045,29.62069629,BPS36,Pit fill,c14,OxA-19583,1694,37,251,524,388,1699,1426,1563,Charcoal,Plantae,,,Yes,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Urewe ,EIA,IA Classic Urewe,B,C,,A,2011,"Giblin, J., & Fuller, D. (2011). First and second millennium AD agriculture in Rwanda: archaeobotanical finds and radiocarbon dates from seven sites. Vegetation History and Archaeobotany, 20, 253-265. doi:10.1007/s00334-011-0288-2",DOI:10.1007/s00334-011-0288-0,"Giblin, J. D. (2008). New Work on the Later Archaeology of Rwanda 2006 to 2007 : A Preliminary Fieldwork Report. Nyame Akuma, 45-55. ",https://www.academia.edu/813429/New_work_on_the_later_archaeology_of_Rwanda_2006_to_2007_A_preliminary_fieldwork_report,"Giblin, J., & Humphris, J. (2010). An Urewe burial in Rwanda: Exchange, health, wealth and violence c. AD 400. Azania: Archaeological Research in Africa, 45, 276-297. doi:10.1080/0067270X.2010.521679",https://doi.org/10.1080/0067270X.2010.521679,,,"Giblin, J. D. (2010). Re-constructing the past in post-genocide Rwanda: an archaeological contribution. (Phd Dissertation), University College London, London.",https://doi.org/10.1080/0067270X.2010.521680
4,2,Masangano,Rwanda,Rwanda,Forest/wood/grassland mosaic ,-1.687612002,29.88175806,MSG,Occupation deposit,c14,OxA-19520,1698,27,256,427,342,1694,1523,1609,Charcoal,Plantae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Urewe ,EIA,IA Classic Urewe,B,C,,A,2011,"Giblin, J., & Fuller, D. (2011). First and second millennium AD agriculture in Rwanda: archaeobotanical finds and radiocarbon dates from seven sites. Vegetation History and Archaeobotany, 20, 253-265. doi:10.1007/s00334-011-0288-3",DOI:10.1007/s00334-011-0288-0,"Giblin, J. D. (2008). New Work on the Later Archaeology of Rwanda 2006 to 2007 : A Preliminary Fieldwork Report. Nyame Akuma, 45-55. ",https://www.academia.edu/813429/New_work_on_the_later_archaeology_of_Rwanda_2006_to_2007_A_preliminary_fieldwork_report,,,,,"Giblin, J. D. (2010). Re-constructing the past in post-genocide Rwanda: an archaeological contribution. (Phd Dissertation), University College London, London.",https://doi.org/10.1080/0067270X.2010.521680
5,3,Karama,Rwanda,Rwanda,Forest/wood/grassland mosaic ,-1.929041199,29.84100793,GPS014,Pit fill,c14,OxA-19519,1291,25,668,845,757,1282,1105,1194,Charcoal,Plantae,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,Yes,Urewe ,MIA,IA Transitional Urewe,A,C,,A,2011,"Giblin, J., & Fuller, D. (2011). First and second millennium AD agriculture in Rwanda: archaeobotanical finds and radiocarbon dates from seven sites. Vegetation History and Archaeobotany, 20, 253-265. doi:10.1007/s00334-011-0288-4",DOI:10.1007/s00334-011-0288-0,"Giblin, J. D. (2008). New Work on the Later Archaeology of Rwanda 2006 to 2007 : A Preliminary Fieldwork Report. Nyame Akuma, 45-55. ",https://www.academia.edu/813429/New_work_on_the_later_archaeology_of_Rwanda_2006_to_2007_A_preliminary_fieldwork_report,,,,,"Giblin, J. D. (2010). Re-constructing the past in post-genocide Rwanda: an archaeological contribution. (Phd Dissertation), University College London, London.",https://doi.org/10.1080/0067270X.2010.521680
6,4,Musanze 2,Rwanda,Rwanda,Forest/wood/grassland mosaic ,-1.52354275,29.74004212,M2,Occupation deposit,c14,OxA-19521,956,26,1031,1177,1104,919,773,846,Charcoal,Plantae,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,Yes,,,Yes,,,Yes,Urewe ,LIA,LIA Roulette-decorated,B,C,,A,2011,"Giblin, J., & Fuller, D. (2011). First and second millennium AD agriculture in Rwanda: archaeobotanical finds and radiocarbon dates from seven sites. Vegetation History and Archaeobotany, 20, 253-265. doi:10.1007/s00334-011-0288-5",DOI:10.1007/s00334-011-0288-0,"Giblin, J. D. (2008). New Work on the Later Archaeology of Rwanda 2006 to 2007 : A Preliminary Fieldwork Report. Nyame Akuma, 45-55.",https://www.academia.edu/813429/New_work_on_the_later_archaeology_of_Rwanda_2006_to_2007_A_preliminary_fieldwork_report,,,,,"Giblin, J. D. (2010). Re-constructing the past in post-genocide Rwanda: an archaeological contribution. (Phd Dissertation), University College London, London.",https://doi.org/10.1080/0067270X.2010.521680
7,5,Musanze 3,Rwanda,Rwanda,Forest/wood/grassland mosaic ,-1.620851,29.847496,M3,Occupation deposit,c14,OxA-19522,996,25,1020,1154,1087,930,796,863,Charcoal,Plantae,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,Yes,,,Yes,,,Yes,Urewe ,LIA,LIA Roulette-decorated,A,C,,A,2011,"Giblin, J., & Fuller, D. (2011). First and second millennium AD agriculture in Rwanda: archaeobotanical finds and radiocarbon dates from seven sites. Vegetation History and Archaeobotany, 20, 253-265. doi:10.1007/s00334-011-0288-6",DOI:10.1007/s00334-011-0288-0,"Giblin, J. D. (2008). New Work on the Later Archaeology of Rwanda 2006 to 2007 : A Preliminary Fieldwork Report. Nyame Akuma, 45-55.",https://www.academia.edu/813429/New_work_on_the_later_archaeology_of_Rwanda_2006_to_2007_A_preliminary_fieldwork_report,,,,,"Giblin, J. D. (2010). Re-constructing the past in post-genocide Rwanda: an archaeological contribution. (Phd Dissertation), University College London, London.",https://doi.org/10.1080/0067270X.2010.521680
8,6,Nguri Cave,Rwanda,Rwanda,Forest/wood/grassland mosaic ,-1.408844,29.702258,RPS003,Occupation deposit,c14,OxA-19523,956,26,1030,1177,1104,920,773,847,Charcoal,Plantae,,Yes,,,Yes,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,Yes,,,Yes,,Yes,Yes,Urewe ,LIA,Late Iron Age (LIA) Roulette-decorated,B,C,,A,2011,"Giblin, J., & Fuller, D. (2011). First and second millennium AD agriculture in Rwanda: archaeobotanical finds and radiocarbon dates from seven sites. Vegetation History and Archaeobotany, 20, 253-265. doi:10.1007/s00334-011-0288-7",DOI:10.1007/s00334-011-0288-0,"Giblin, J. D. (2008). New Work on the Later Archaeology of Rwanda 2006 to 2007 : A Preliminary Fieldwork Report. Nyame Akuma, 45-55.",https://www.academia.edu/813429/New_work_on_the_later_archaeology_of_Rwanda_2006_to_2007_A_preliminary_fieldwork_report,,,,,"Giblin, J. D. (2010). Re-constructing the past in post-genocide Rwanda: an archaeological contribution. (Phd Dissertation), University College London, London.",https://doi.org/10.1080/0067270X.2010.521680
9,7,Mweru,Rwanda,Rwanda,Forest/wood/grassland mosaic ,-1.384192121,29.71130258,RPS015,Burnt floor,c14,OxA-19524,951,25,1033,1177,1105,917,773,845,Charcoal,Plantae,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,Yes,,,Yes,,Yes,Yes,Urewe ,LIA,LIA Roulette-decorated,A,C,,A,2011,"Giblin, J., & Fuller, D. (2011). First and second millennium AD agriculture in Rwanda: archaeobotanical finds and radiocarbon dates from seven sites. Vegetation History and Archaeobotany, 20, 253-265. doi:10.1007/s00334-011-0288-8",DOI:10.1007/s00334-011-0288-0,"Giblin, J. D. (2008). New Work on the Later Archaeology of Rwanda 2006 to 2007 : A Preliminary Fieldwork Report. Nyame Akuma, 45-55.",https://www.academia.edu/813429/New_work_on_the_later_archaeology_of_Rwanda_2006_to_2007_A_preliminary_fieldwork_report,,,,,"Giblin, J. D. (2010). Re-constructing the past in post-genocide Rwanda: an archaeological contribution. (Phd Dissertation), University College London, London.",https://doi.org/10.1080/0067270X.2010.521680
10,7,Mweru,Rwanda,Rwanda,Forest/wood/grassland mosaic ,-1.384192121,29.71130258,RPS015,Occupation deposit,c14,OxA-19811,940,26,1035,1205,1120,915,745,830,Charcoal,Plantae,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,Yes,,,Yes,,Yes,Yes,Urewe ,LIA,LIA Roulette-decorated,B,C,,A,2011,"Giblin, J., & Fuller, D. (2011). First and second millennium AD agriculture in Rwanda: archaeobotanical finds and radiocarbon dates from seven sites. Vegetation History and Archaeobotany, 20, 253-265. doi:10.1007/s00334-011-0288-9",DOI:10.1007/s00334-011-0288-0,"Giblin, J. D. (2008). New Work on the Later Archaeology of Rwanda 2006 to 2007 : A Preliminary Fieldwork Report. Nyame Akuma, 45-55.",https://www.academia.edu/813429/New_work_on_the_later_archaeology_of_Rwanda_2006_to_2007_A_preliminary_fieldwork_report,,,,,"Giblin, J. D. (2010). Re-constructing the past in post-genocide Rwanda: an archaeological contribution. (Phd Dissertation), University College London, London.",https://doi.org/10.1080/0067270X.2010.521680
