"","median_posterior","HPDI95_low","HPDI95_high","rhat","ESS"
"a[1]","1925 BP","943 BP","3095 BP",1.01,2179
"a[2]","2210 BP","1462 BP","3106 BP",1.01,3543
"a[3]","1993 BP","1374 BP","2757 BP",1.01,2275
"a[4]","2273 BP","1851 BP","2946 BP",1.01,5495
"a[5]","1665 BP","1096 BP","2368 BP",1.01,2976
"a[6]","2151 BP","1970 BP","2550 BP",1,5804
"a[7]","2392 BP","1618 BP","3137 BP",1,4003
"a[8]","1441 BP","771 BP","2161 BP",1,5641
"a[9]","1506 BP","1380 BP","1751 BP",1,24035
"a[10]","2315 BP","2172 BP","2577 BP",1,7851
"a[11]","2274 BP","1506 BP","3289 BP",1,3745
"a[12]","1612 BP","1265 BP","2394 BP",1,7076
"a[13]","1622 BP","1450 BP","1976 BP",1,17181
"a[14]","1434 BP","1270 BP","1667 BP",1,6178
"a[15]","2261 BP","2061 BP","2639 BP",1,10284
"a[16]","1559 BP","958 BP","2517 BP",1,1982
"a[17]","1605 BP","1468 BP","1833 BP",1,10613
"a[18]","1722 BP","1631 BP","1868 BP",1,24974
"a[19]","2276 BP","1981 BP","2619 BP",1,9211
"a[20]","2139 BP","1594 BP","2813 BP",1,4774
"a[21]","1664 BP","1588 BP","1870 BP",1,1887
"a[22]","2295 BP","1400 BP","3170 BP",1,3234
"a[23]","2262 BP","2113 BP","2537 BP",1,18197
"a[24]","1698 BP","1490 BP","2022 BP",1,16270
"a[25]","2009 BP","1618 BP","2520 BP",1,10103
"a[26]","1898 BP","1514 BP","2475 BP",1,8627
"a[27]","2650 BP","2446 BP","2977 BP",1,8277
"a[28]","1654 BP","1382 BP","2281 BP",1,7496
"a[29]","1913 BP","1531 BP","2429 BP",1,7439
"a[30]","2078 BP","1860 BP","2379 BP",1,9249
"a[31]","2140 BP","1754 BP","2703 BP",1,2604
"a[32]","2563 BP","2282 BP","3171 BP",1,3795
"a[33]","1985 BP","1381 BP","2717 BP",1,3580
"a[34]","1790 BP","1591 BP","2126 BP",1,17677
"a[35]","2076 BP","1541 BP","2660 BP",1,6423
"a[36]","2184 BP","1987 BP","2443 BP",1,7368
"a[37]","2321 BP","1339 BP","3489 BP",1.01,1432
"a[38]","2215 BP","1832 BP","2884 BP",1,4255
"a[39]","2317 BP","1774 BP","2935 BP",1,5191
"a[40]","1845 BP","1685 BP","2101 BP",1,14985
"a[41]","2108 BP","1374 BP","2931 BP",1.01,1735
"a[42]","2315 BP","1859 BP","3029 BP",1,5128
"a[43]","2405 BP","2200 BP","2761 BP",1,6369
"a[44]","2137 BP","1643 BP","2815 BP",1.01,2160
"a[45]","2591 BP","2185 BP","3301 BP",1,5705
"a[46]","1939 BP","1774 BP","2239 BP",1,19918
"a[47]","2312 BP","1323 BP","3503 BP",1.01,2004
