"Model","Area","Median Posterior","90% HPDI (low)","90% HPDI (high)","Rhat","ESS"
"Model a","1","82 BC","83 BC","79 BC",NA,12
"Model a","2","82.5 BC","85 BC","80 BC",NA,12
"Model a","3","80 BC","84 BC","77 BC",NA,12
"Model a","4","81 BC","86 BC","78 BC",NA,12
"Model a","5","711 AD","709 AD","715 AD",NA,12
"Model a","6","202.5 AD","202 AD","205 AD",NA,12
"Model a","7","203 AD","202 AD","204 AD",NA,12
"Model a","8","290.5 AD","288 AD","295 AD",NA,12
"Model a","9","290 AD","288 AD","292 AD",NA,12
"Model a","10","86 BC","89 BC","84 BC",NA,12
"Model a","11","86.5 BC","88 BC","85 BC",NA,12
"Model a","12","876 AD","872 AD","880 AD",NA,12
"Model a","13","405 BC","407 BC","403 BC",NA,12
"Model a","14","206.5 AD","203 AD","208 AD",NA,12
"Model a","15","208.5 AD","205 AD","212 AD",NA,12
"Model a","16","175 AD","172 AD","179 AD",NA,12
"Model a","17","921 AD","917 AD","923 AD",NA,12
"Model a","18","253 BC","254 BC","250 BC",NA,12
"Model a","19","176 BC","181 BC","174 BC",NA,12
"Model a","20","175 BC","178 BC","171 BC",NA,12
"Model a","21","1123.5 BC","1129 BC","1121 BC",NA,12
"Model a","22","389 BC","391 BC","387 BC",NA,12
"Model a","23","335.5 AD","332 AD","337 AD",NA,12
"Model a","24","1461 BC","1464 BC","1456 BC",NA,12
"Model a","25","64 BC","65 BC","62 BC",NA,12
"Model a","26","1029 BC","1030 BC","1028 BC",NA,12
"Model a","27","794 BC","800 BC","789 BC",NA,12
"Model a","28","660.5 BC","662 BC","659 BC",NA,12
"Model a","29","1070 BC","1073 BC","1068 BC",NA,12
"Model a","30","184.5 AD","183 AD","189 AD",NA,12
"Model a","31","561 AD","557 AD","564 AD",NA,12
"Model a","32","560 AD","557 AD","562 AD",NA,12
"Model a","33","1768 BC","1771 BC","1765 BC",NA,12
"Model a","34","1769 BC","1774 BC","1766 BC",NA,12
"Model a","35","763.5 BC","766 BC","760 BC",NA,12
"Model a","36","1477 AD","1474 AD","1482 AD",NA,12
"Model a","37","1476 AD","1473 AD","1478 AD",NA,12
"Model a","38","1477 AD","1474 AD","1479 AD",NA,12
"Model a","39","1477 AD","1475 AD","1479 AD",NA,12
"Model a","40","1477 AD","1476 AD","1479 AD",NA,12
"Model a","41","1478.5 AD","1475 AD","1483 AD",NA,12
"Model a","42","1763 BC","1767 BC","1759 BC",NA,12
"Model a","43","1763 BC","1765 BC","1762 BC",NA,12
"Model a","44","1764 BC","1765 BC","1761 BC",NA,12
"Model a","45","1763 BC","1767 BC","1760 BC",NA,12
"Model a","46","1764 BC","1766 BC","1761 BC",NA,12
"Model a","47","1764 BC","1766 BC","1760 BC",NA,12
"Model b","1","1572.5 BC","3051 BC","373 AD",1.003,4000
"Model b","2","1527.5 BC","3050 BC","377 AD",1.002,4099
"Model b","3","82 BC","82 BC","82 BC",NA,0
"Model b","4","1563.5 BC","3049 BC","364 AD",0.999,3919
"Model b","5","712 AD","712 AD","712 AD",NA,0
"Model b","6","202 AD","202 AD","202 AD",NA,0
"Model b","7","1599.5 BC","3050 BC","303 AD",1,4000
"Model b","8","1606.5 BC","3048 BC","326 AD",1,3920
"Model b","9","290 AD","290 AD","290 AD",NA,0
"Model b","10","87 BC","87 BC","87 BC",NA,0
"Model b","11","1557.5 BC","3051 BC","375 AD",0.999,4017
"Model b","12","876 AD","876 AD","876 AD",NA,0
"Model b","13","404 BC","404 BC","404 BC",NA,0
"Model b","14","207 AD","207 AD","207 AD",NA,0
"Model b","15","1570 BC","3051 BC","371 AD",1.005,3967
"Model b","16","175 AD","175 AD","175 AD",NA,0
"Model b","17","921 AD","921 AD","921 AD",NA,0
"Model b","18","252 BC","252 BC","252 BC",NA,0
"Model b","19","176 BC","176 BC","176 BC",NA,0
"Model b","20","1618 BC","3050 BC","280 AD",0.999,4375
"Model b","21","1125 BC","1125 BC","1125 BC",NA,0
"Model b","22","391 BC","391 BC","391 BC",NA,0
"Model b","23","336 AD","336 AD","336 AD",NA,0
"Model b","24","1461 BC","1461 BC","1461 BC",NA,0
"Model b","25","65 BC","65 BC","65 BC",NA,0
"Model b","26","1027 BC","1027 BC","1027 BC",NA,0
"Model b","27","796 BC","796 BC","796 BC",NA,0
"Model b","28","660 BC","660 BC","660 BC",NA,0
"Model b","29","1070 BC","1070 BC","1070 BC",NA,0
"Model b","30","186 AD","186 AD","186 AD",NA,0
"Model b","31","560 AD","560 AD","560 AD",NA,0
"Model b","32","1644 BC","3049 BC","378 AD",1.001,3770
"Model b","33","1595 BC","3051 BC","359 AD",1.001,3892
"Model b","34","1769 BC","1769 BC","1769 BC",NA,0
"Model b","35","763 BC","763 BC","763 BC",NA,0
"Model b","36","491.5 AD","1942 BC","1587 AD",1.002,3715
"Model b","37","1561.5 BC","3051 BC","401 AD",1,4000
"Model b","38","1615.5 BC","3051 BC","352 AD",1.001,4279
"Model b","39","1632.5 BC","3045 BC","296 AD",1,3973
"Model b","40","1624 BC","3050 BC","266 AD",1.001,4359
"Model b","41","1583 BC","3050 BC","345 AD",0.999,4195
"Model b","42","1591 BC","3051 BC","326 AD",1.002,3482
"Model b","43","2225.5 BC","3038 BC","1541 BC",1,2915
"Model b","44","1615 BC","3050 BC","336 AD",1,4503
"Model b","45","1594.5 BC","3050 BC","290 AD",1,4112
"Model b","46","1591.5 BC","3050 BC","334 AD",0.999,4352
"Model b","47","1599.5 BC","3050 BC","321 AD",1,4000
