"","median_posterior","HPDI95_low","HPDI95_high","rhat","ESS"
"a[1]","995 BP","854 BP","1448 BP",1,9369
"a[2]","970 BP","790 BP","1447 BP",1,10670
"a[3]","1646 BP","1561 BP","1935 BP",1,10052
"a[4]","1629 BP","1440 BP","2110 BP",1,10165
"a[5]","2111 BP","1409 BP","2810 BP",1,10507
"a[6]","875 BP","820 BP","1012 BP",1,9193
"a[7]","1653 BP","1606 BP","1770 BP",1,7225
"a[8]","1596 BP","1486 BP","1897 BP",1,9832
"a[9]","1774 BP","1420 BP","2286 BP",1,9787
"a[10]","961 BP","887 BP","1080 BP",1,1199
"a[11]","987 BP","947 BP","1094 BP",1,9856
"a[12]","1639 BP","1589 BP","1767 BP",1,9815
"a[13]","1560 BP","1452 BP","1842 BP",1,9132
"a[14]","2323 BP","2213 BP","2607 BP",1,9339
"a[15]","965 BP","900 BP","1075 BP",1,5152
"a[16]","1852 BP","1798 BP","1957 BP",1,9576
"a[17]","1635 BP","1583 BP","1776 BP",1,9171
"a[18]","1869 BP","1801 BP","2028 BP",1,9127
"a[19]","953 BP","864 BP","1151 BP",1,8933
"a[20]","1157 BP","1108 BP","1244 BP",1,7157
"a[21]","1504 BP","1428 BP","1768 BP",1,9485
"a[22]","1752 BP","1671 BP","1953 BP",1,8946
"a[23]","1913 BP","1611 BP","2416 BP",1,10332
"a[24]","924 BP","865 BP","1030 BP",1,3852
"a[25]","1693 BP","1637 BP","1787 BP",1,4474
"a[26]","1616 BP","1495 BP","1869 BP",1,9460
"a[27]","1730 BP","1637 BP","1978 BP",1,8969
"a[28]","1373 BP","1323 BP","1482 BP",1,9717
"a[29]","1737 BP","1680 BP","1819 BP",1,4380
"a[30]","1469 BP","1393 BP","1717 BP",1,10000
"a[31]","1577 BP","1364 BP","1980 BP",1,10000
"a[32]","1887 BP","1371 BP","2408 BP",1,10292
"a[33]","1332 BP","1305 BP","1383 BP",1.01,6394
"a[34]","1845 BP","1806 BP","1911 BP",1,7031
"a[35]","1566 BP","1498 BP","1826 BP",1,7781
"a[36]","1757 BP","1516 BP","2191 BP",1,10149
"a[37]","1489 BP","1410 BP","1718 BP",1,10546
"a[38]","1733 BP","1673 BP","1779 BP",1.02,212
"a[39]","1624 BP","1590 BP","1690 BP",1,9198
"a[40]","2013 BP","1949 BP","2177 BP",1,9712
"a[41]","1942 BP","1418 BP","2459 BP",1,9567
"a[42]","1270 BP","1226 BP","1349 BP",1,3787
"a[43]","1307 BP","1220 BP","1518 BP",1,4832
"a[44]","1575 BP","1543 BP","1663 BP",1,6768
"a[45]","2081 BP","2008 BP","2253 BP",1,9063
"a[46]","1460 BP","1415 BP","1630 BP",1.02,4065
"a[47]","1397 BP","1341 BP","1528 BP",1,10406
"a[48]","1575 BP","1550 BP","1630 BP",1,4900
"a[49]","1694 BP","1635 BP","1814 BP",1,4940
"a[50]","1889 BP","1394 BP","2405 BP",1,10219
"a[51]","1394 BP","1352 BP","1487 BP",1,9499
"a[52]","1264 BP","1140 BP","1542 BP",1,8907
"a[53]","1782 BP","1732 BP","1918 BP",1,9582
"a[54]","1795 BP","1742 BP","1935 BP",1,9766
"a[55]","1671 BP","1602 BP","1858 BP",1,7378
"a[56]","1748 BP","1710 BP","1812 BP",1,3194
"a[57]","1358 BP","1260 BP","1636 BP",1,10000
"a[58]","1156.5 BP","998 BP","1628 BP",1,10000
"a[59]","1581 BP","1077 BP","2104 BP",1,10061
"a[60]","1686 BP","1625 BP","1801 BP",1,7660
"a[61]","1482 BP","1437 BP","1559 BP",1,6122
"a[62]","1435 BP","1389 BP","1547 BP",1,10138
"a[63]","1136 BP","1027 BP","1467 BP",1,9690
"a[64]","1868 BP","1763 BP","2182 BP",1,10000
"a[65]","1397 BP","1341 BP","1485 BP",1,7995
"a[66]","1504 BP","1450 BP","1599 BP",1,8518
"a[67]","1255 BP","1212 BP","1345 BP",1,4774
"a[68]","1323 BP","832 BP","1836 BP",1,11289
"a[69]","1734 BP","1677 BP","1850 BP",1,9983
"a[70]","1304 BP","1258 BP","1372 BP",1,6398
"a[71]","950 BP","865 BP","1130 BP",1,8570
"a[72]","1159 BP","1084 BP","1324 BP",1,8119
"a[73]","1895 BP","1770 BP","2262 BP",1,9950
"a[74]","1158 BP","1102 BP","1272 BP",1,7070
"a[75]","936 BP","863 BP","1079 BP",1,8552
"a[76]","1188 BP","1113 BP","1327 BP",1,8372
"a[77]","1139 BP","856 BP","1742 BP",1,10321
"a[78]","1710 BP","1638 BP","1892 BP",1,4443
"a[79]","1067 BP","799 BP","1613 BP",1,9723
"a[80]","791 BP","746 BP","919 BP",1,5637
"a[81]","1113 BP","968 BP","1531 BP",1,10079
