"","median_posterior","HPDI95_low","HPDI95_high","rhat","ESS"
"a[1]","2569 BP","2406 BP","3090 BP",1,39651
"a[2]","2368 BP","2184 BP","2829 BP",1,18826
"a[3]","2656 BP","2524 BP","2986 BP",1,7468
"a[4]","2644 BP","2443 BP","3153 BP",1,38812
"a[5]","3120 BP","2357 BP","3925 BP",1,37749
"a[6]","2336 BP","2274 BP","2423 BP",1.05,16948
"a[7]","2701 BP","2605 BP","2850 BP",1,12022
"a[8]","2579 BP","2466 BP","2888 BP",1,9222
"a[9]","2799 BP","2448 BP","3327 BP",1,31948
"a[10]","2662 BP","2569 BP","2797 BP",1.08,1234
"a[11]","2477 BP","2418 BP","2574 BP",1,31903
"a[12]","2682 BP","2593 BP","2834 BP",1,7668
"a[13]","2535 BP","2412 BP","2807 BP",1,33766
"a[14]","3304 BP","3205 BP","3634 BP",1,39932
"a[15]","2482 BP","2421 BP","2598 BP",1,35244
"a[16]","2864 BP","2800 BP","3002 BP",1,36891
"a[17]","2663 BP","2576 BP","2830 BP",1,15339
"a[18]","2869 BP","2805 BP","3026 BP",1,32485
"a[19]","2698 BP","2579 BP","2861 BP",1,6759
"a[20]","2654 BP","2583 BP","2767 BP",1,6136
"a[21]","2497 BP","2397 BP","2793 BP",1,14598
"a[22]","2408 BP","2230 BP","2763 BP",1,5222
"a[23]","2906 BP","2608 BP","3422 BP",1,35313
"a[24]","2396 BP","2372 BP","2460 BP",1,4382
"a[25]","2980 BP","2937 BP","3062 BP",1,37954
"a[26]","2565 BP","2417 BP","2859 BP",1,24567
"a[27]","2631 BP","2529 BP","2892 BP",1,1658
"a[28]","2355 BP","2265 BP","2503 BP",1.04,22749
"a[29]","2706 BP","2621 BP","2808 BP",1,7609
"a[30]","2504 BP","2411 BP","2765 BP",1,35055
"a[31]","2483 BP","2041 BP","2956 BP",1,33192
"a[32]","2829 BP","2270 BP","3409 BP",1,31478
"a[33]","2322 BP","2257 BP","2380 BP",1.16,3372
"a[34]","2873 BP","2829 BP","2950 BP",1,26265
"a[35]","2580 BP","2473 BP","2933 BP",1,4567
"a[36]","2703 BP","2487 BP","3155 BP",1,22954
"a[37]","2458 BP","2379 BP","2688 BP",1,39867
"a[38]","2705 BP","2624 BP","2753 BP",1.02,1112
"a[39]","2669 BP","2578 BP","2773 BP",1.01,3771
"a[40]","3026 BP","2949 BP","3206 BP",1,31506
"a[41]","2901 BP","2334 BP","3482 BP",1,38737
"a[42]","2251 BP","2204 BP","2354 BP",1,2426
"a[43]","2326 BP","2216 BP","2529 BP",1,2235
"a[44]","2576 BP","2518 BP","2762 BP",1.03,1328
"a[45]","3062 BP","2987 BP","3252 BP",1,36563
"a[46]","2465 BP","2405 BP","2645 BP",1,17994
"a[47]","2403 BP","2360 BP","2527 BP",1,40000
"a[48]","2159 BP","2128 BP","2215 BP",1,10255
"a[49]","2708 BP","2572 BP","2850 BP",1,5115
"a[50]","2866 BP","2304 BP","3430 BP",1,39659
"a[51]","2382 BP","2349 BP","2472 BP",1,22082
"a[52]","1929 BP","1765 BP","2312 BP",1,39631
"a[53]","2769 BP","2647 BP","2888 BP",1.73,26317
"a[54]","2807 BP","2764 BP","2954 BP",1,34043
"a[55]","2651 BP","2561 BP","2840 BP",1,20914
"a[56]","2706 BP","2581 BP","2782 BP",1.43,1788
"a[57]","2036 BP","1885 BP","2417 BP",1,39720
"a[58]","2219 BP","2031 BP","2714 BP",1,38409
"a[59]","2571 BP","2014 BP","3133 BP",1,40294
"a[60]","2637 BP","2567 BP","2783 BP",1.02,1595
"a[61]","2071 BP","2028 BP","2145 BP",1,29720
"a[62]","2437 BP","2385 BP","2553 BP",1,35611
"a[63]","2138 BP","2023 BP","2514 BP",1,39521
"a[64]","2856 BP","2767 BP","3182 BP",1,21789
"a[65]","1997 BP","1933 BP","2101 BP",1,34320
"a[66]","2497 BP","2442 BP","2579 BP",1,33479
"a[67]","2561 BP","2520 BP","2648 BP",1,20982
"a[68]","2303 BP","1758 BP","2861 BP",1,39282
"a[69]","2733 BP","2644 BP","2849 BP",1,9897
"a[70]","1921 BP","1878 BP","2002 BP",1,34575
"a[71]","1910 BP","1843 BP","2090 BP",1,36460
"a[72]","2151 BP","2082 BP","2314 BP",1,35169
"a[73]","2861 BP","2770 BP","3225 BP",1,29202
"a[74]","2133 BP","2076 BP","2228 BP",1,25036
"a[75]","1893 BP","1838 BP","2018 BP",1,36349
"a[76]","2249 BP","2172 BP","2417 BP",1,28269
"a[77]","2155 BP","1854 BP","2768 BP",1,39135
"a[78]","2697 BP","2582 BP","2914 BP",1,8938
"a[79]","2013 BP","1796 BP","2549 BP",1,40536
"a[80]","1771 BP","1733 BP","1894 BP",1,11520
"a[81]","2095 BP","1939 BP","2536 BP",1,39760
