"","median_posterior","HPDI95_low","HPDI95_high","rhat","ESS"
"a[1]","2546 BP","2386 BP","3094 BP",1,10445
"a[2]","2429 BP","2292 BP","2871 BP",1,9799
"a[3]","2647 BP","2564 BP","2960 BP",1,10160
"a[4]","2649 BP","2459 BP","3170 BP",1,10069
"a[5]","3090 BP","2332 BP","3854 BP",1,9690
"a[6]","2346 BP","2316 BP","2428 BP",1,9818
"a[7]","2667 BP","2618 BP","2808 BP",1,10394
"a[8]","2597 BP","2511 BP","2905 BP",1,10015
"a[9]","2766 BP","2409 BP","3322 BP",1,9808
"a[10]","2768 BP","2735 BP","2874 BP",1,10124
"a[11]","2483 BP","2450 BP","2572 BP",1,10194
"a[12]","2640 BP","2594 BP","2772 BP",1,9852
"a[13]","2597 BP","2520 BP","2847 BP",1,9576
"a[14]","3293 BP","3195 BP","3632 BP",1,10000
"a[15]","2487 BP","2439 BP","2603 BP",1,9595
"a[16]","2848 BP","2801 BP","2983 BP",1,10000
"a[17]","2620 BP","2574 BP","2764 BP",1,10010
"a[18]","2854.5 BP","2800 BP","3010 BP",1,9472
"a[19]","2783 BP","2722 BP","2945 BP",1,10000
"a[20]","2627 BP","2596 BP","2697 BP",1,9667
"a[21]","2504 BP","2441 BP","2757 BP",1,10000
"a[22]","2427 BP","2305 BP","2784 BP",1,9793
"a[23]","2932 BP","2634 BP","3466 BP",1,10179
"a[24]","2402 BP","2388 BP","2456 BP",1,2121
"a[25]","2975 BP","2940 BP","3056 BP",1,10000
"a[26]","2512 BP","2401 BP","2789 BP",1,10171
"a[27]","2765 BP","2700 BP","2993 BP",1,10463
"a[28]","2379 BP","2325 BP","2523 BP",1,10000
"a[29]","2773 BP","2733 BP","2869 BP",1,10000
"a[30]","2476 BP","2398 BP","2727 BP",1,9680
"a[31]","2505 BP","2040 BP","2971 BP",1,10000
"a[32]","2884 BP","2323 BP","3460 BP",1,10181
"a[33]","2337 BP","2311 BP","2389 BP",1,9672
"a[34]","2856 BP","2829 BP","2923 BP",1,10000
"a[35]","2596 BP","2522 BP","2903 BP",1,9343
"a[36]","2726 BP","2514 BP","3199 BP",1,9544
"a[37]","2520 BP","2449 BP","2764 BP",1,10000
"a[38]","2738 BP","2722 BP","2777 BP",1,5945
"a[39]","2628 BP","2604 BP","2684 BP",1,10000
"a[40]","3023 BP","2976 BP","3193 BP",1,10000
"a[41]","2924 BP","2350 BP","3500 BP",1,10010
"a[42]","2310 BP","2286 BP","2379 BP",1,9421
"a[43]","2310 BP","2259 BP","2476 BP",1,9759
"a[44]","2580 BP","2553 BP","2668 BP",1,9584
"a[45]","3067 BP","3014 BP","3251 BP",1,10000
"a[46]","2519 BP","2478 BP","2716 BP",1,9329
"a[47]","2404 BP","2364 BP","2532 BP",1,9833
"a[48]","2168 BP","2152 BP","2214 BP",1,7585
"a[49]","2712 BP","2675 BP","2824 BP",1,10050
"a[50]","2873 BP","2315 BP","3432 BP",1,10206
"a[51]","2397 BP","2357 BP","2494 BP",1,10009
"a[52]","1924 BP","1767 BP","2319 BP",1,10313
"a[53]","2796 BP","2758 BP","2925 BP",1,9658
"a[54]","2804 BP","2767 BP","2939 BP",1,10146
"a[55]","2653 BP","2601 BP","2825 BP",1,10126
"a[56]","2767 BP","2743 BP","2834 BP",1,9597
"a[57]","2024 BP","1872 BP","2420 BP",1,9643
"a[58]","2217 BP","2064 BP","2698 BP",1,10153
"a[59]","2563 BP","2011 BP","3133 BP",1,9729
"a[60]","2672 BP","2632 BP","2773 BP",1,9607
"a[61]","2069 BP","2043 BP","2131 BP",1,9417
"a[62]","2443 BP","2405 BP","2552 BP",1,10000
"a[63]","2137 BP","2037 BP","2507 BP",1,9933
"a[64]","2882 BP","2775 BP","3214 BP",1,10521
"a[65]","2004 BP","1968 BP","2103 BP",1,9908
"a[66]","2507 BP","2476 BP","2585 BP",1,10000
"a[67]","2565 BP","2543 BP","2627 BP",1,10000
"a[68]","2315 BP","1761 BP","2873 BP",1,10165
"a[69]","2727.5 BP","2686 BP","2836 BP",1,9837
"a[70]","1922 BP","1890 BP","1996 BP",1,9761
"a[71]","1926 BP","1858 BP","2128 BP",1,9803
"a[72]","2157 BP","2101 BP","2328 BP",1,10000
"a[73]","2889 BP","2775 BP","3278 BP",1,10000
"a[74]","2135 BP","2108 BP","2213 BP",1,9668
"a[75]","1887 BP","1842 BP","2003 BP",1,9719
"a[76]","2225 BP","2169 BP","2371 BP",1,10429
"a[77]","2165 BP","1882 BP","2776 BP",1,9010
"a[78]","2677 BP","2647 BP","2840 BP",1,5658
"a[79]","2005 BP","1782 BP","2553 BP",1,10049
"a[80]","1809 BP","1777 BP","1944 BP",1,8351
"a[81]","2099 BP","1961 BP","2526 BP",1,9743
