"","median_posterior","HPDI95_low","HPDI95_high","rhat","ESS"
"a[1]","1551 BP","1389 BP","2071 BP",1,9398
"a[2]","1384 BP","1235 BP","1824 BP",1,10073
"a[3]","1650 BP","1561 BP","1952 BP",1,10000
"a[4]","1626 BP","1436 BP","2129 BP",1,9626
"a[5]","2118 BP","1386 BP","2875 BP",1,9832
"a[6]","1352 BP","1317 BP","1437 BP",1,9983
"a[7]","1659 BP","1605 BP","1800 BP",1,7443
"a[8]","1592 BP","1478 BP","1911 BP",1,8680
"a[9]","1758 BP","1409 BP","2300 BP",1,9737
"a[10]","1758 BP","1694 BP","1857 BP",1,4258
"a[11]","1494 BP","1439 BP","1590 BP",1,6296
"a[12]","1640 BP","1589 BP","1766 BP",1,9604
"a[13]","1549 BP","1448 BP","1819 BP",1,9459
"a[14]","2329 BP","2209 BP","2646 BP",1,9108
"a[15]","1513 BP","1448 BP","1632 BP",1,8924
"a[16]","1858 BP","1799 BP","1989 BP",1,9833
"a[17]","1630 BP","1578 BP","1764 BP",1,9006
"a[18]","1862 BP","1796 BP","2018 BP",1,8882
"a[19]","1770 BP","1681 BP","1934 BP",1,5972
"a[20]","1626 BP","1585 BP","1700 BP",1,7999
"a[21]","1504 BP","1428 BP","1787 BP",1,9419
"a[22]","1396 BP","1270 BP","1750 BP",1,9402
"a[23]","1908 BP","1609 BP","2450 BP",1,10246
"a[24]","1400 BP","1371 BP","1466 BP",1,1388
"a[25]","1971 BP","1929 BP","2056 BP",1,9436
"a[26]","1509 BP","1401 BP","1779 BP",1,8949
"a[27]","1717 BP","1632 BP","1939 BP",1,8225
"a[28]","1380 BP","1324 BP","1525 BP",1,10580
"a[29]","1741 BP","1685 BP","1838 BP",1,5568
"a[30]","1468 BP","1390 BP","1733 BP",1,9699
"a[31]","1470 BP","1009 BP","1948 BP",1,9696
"a[32]","1878 BP","1333 BP","2440 BP",1,10243
"a[33]","1332 BP","1305 BP","1384 BP",1.04,6130
"a[34]","1843 BP","1804 BP","1912 BP",1,7434
"a[35]","1560 BP","1492 BP","1824 BP",1,7377
"a[36]","1727 BP","1502 BP","2180 BP",1,9984
"a[37]","1497 BP","1414 BP","1738 BP",1,10000
"a[38]","1726 BP","1669 BP","1776 BP",1.01,200
"a[39]","1622 BP","1588 BP","1686 BP",1,8305
"a[40]","2012 BP","1946 BP","2180 BP",1,8910
"a[41]","1947 BP","1390 BP","2504 BP",1,9664
"a[42]","1265 BP","1222 BP","1342 BP",1,3485
"a[43]","1290 BP","1215 BP","1454 BP",1,3948
"a[44]","1571 BP","1540 BP","1655 BP",1,4879
"a[45]","2082.5 BP","2006 BP","2267 BP",1,8904
"a[46]","1460 BP","1417 BP","1643 BP",1,4906
"a[47]","1390 BP","1335 BP","1515 BP",1,9652
"a[48]","1143 BP","1102 BP","1210 BP",1.01,888
"a[49]","1692 BP","1632 BP","1818 BP",1,4332
"a[50]","1904 BP","1363 BP","2442 BP",1,9643
"a[51]","1391 BP","1350 BP","1480 BP",1,9212
"a[52]","968 BP","782 BP","1363 BP",1,9849
"a[53]","1778 BP","1731 BP","1912 BP",1,9244
"a[54]","1796 BP","1741 BP","1943 BP",1,9169
"a[55]","1669 BP","1598 BP","1862 BP",1,6491
"a[56]","1747 BP","1699 BP","1805 BP",1.01,3319
"a[57]","1051 BP","884 BP","1437 BP",1,9683
"a[58]","1165 BP","996 BP","1684 BP",1,8667
"a[59]","1601 BP","1066 BP","2162 BP",1,10226
"a[60]","1683 BP","1624 BP","1795 BP",1,7234
"a[61]","1063 BP","1015 BP","1134 BP",1,5102
"a[62]","1433 BP","1387 BP","1548 BP",1,9488
"a[63]","1145 BP","1027 BP","1520 BP",1,9811
"a[64]","1869 BP","1760 BP","2194 BP",1,9682
"a[65]","1042 BP","976 BP","1206 BP",1,10000
"a[66]","1498 BP","1445 BP","1590 BP",1,8356
"a[67]","1560 BP","1485 BP","1623 BP",1.02,258
"a[68]","1346.5 BP","819 BP","1897 BP",1,10019
"a[69]","1733 BP","1676 BP","1841 BP",1,7641
"a[70]","927 BP","876 BP","1014 BP",1,5945
"a[71]","947 BP","861 BP","1135 BP",1,8102
"a[72]","1160 BP","1083 BP","1342 BP",1,7772
"a[73]","1898 BP","1768 BP","2289 BP",1,10000
"a[74]","1150 BP","1099 BP","1253 BP",1,6291
"a[75]","929 BP","857 BP","1059 BP",1,7183
"a[76]","1190 BP","1115 BP","1344 BP",1,7683
"a[77]","1142 BP","853 BP","1770 BP",1,10073
"a[78]","1706 BP","1633 BP","1902 BP",1.01,3486
"a[79]","990 BP","785 BP","1533 BP",1,10000
"a[80]","792 BP","746 BP","930 BP",1,5777
"a[81]","1111 BP","963 BP","1549 BP",1,9443
