"","median_posterior","HPDI95_low","HPDI95_high","rhat","ESS"
"a[1]","1076 BP","859 BP","2786 BP",1,9826
"a[2]","930 BP","779 BP","1966 BP",1,9318
"a[3]","1660 BP","1561 BP","2142 BP",1,10000
"a[4]","1720 BP","1442 BP","3416 BP",1,9784
"a[5]","2583.5 BP","604 BP","3931 BP",1,9805
"a[6]","871 BP","819 BP","1009 BP",1,8955
"a[7]","1664 BP","1608 BP","1827 BP",1,6173
"a[8]","1607 BP","1484 BP","2352 BP",1,9164
"a[9]","1584 BP","1387 BP","3475 BP",1,9248
"a[10]","961 BP","885 BP","1092 BP",1,1303
"a[11]","981 BP","945 BP","1071 BP",1,9457
"a[12]","1639.5 BP","1590 BP","1782 BP",1,9532
"a[13]","1533 BP","1444 BP","1841 BP",1,9826
"a[14]","2799.5 BP","2256 BP","3924 BP",1,9506
"a[15]","964 BP","897 BP","1081 BP",1,5492
"a[16]","1873 BP","1807 BP","2073 BP",1.01,10000
"a[17]","1637 BP","1583 BP","1809 BP",1,9899
"a[18]","1870 BP","1799 BP","2085 BP",1,8881
"a[19]","947 BP","859 BP","1159 BP",1,7686
"a[20]","1152 BP","1105 BP","1234 BP",1,5999
"a[21]","1489 BP","1425 BP","1791 BP",1,7134
"a[22]","1772 BP","1676 BP","2187 BP",1.01,9620
"a[23]","2255 BP","1604 BP","3866 BP",1,10399
"a[24]","913 BP","858 BP","998 BP",1,2405
"a[25]","1695 BP","1639 BP","1805 BP",1,3799
"a[26]","1638 BP","1495 BP","2241 BP",1,9981
"a[27]","1725 BP","1634 BP","2066 BP",1.01,9348
"a[28]","1379 BP","1325 BP","1519 BP",1,10000
"a[29]","1746 BP","1688 BP","1851 BP",1,5091
"a[30]","1453 BP","1390 BP","1716 BP",1,8748
"a[31]","1473 BP","1344 BP","2306 BP",1,9557
"a[32]","2587.5 BP","604 BP","3925 BP",1,10277
"a[33]","1333 BP","1307 BP","1384 BP",1,8062
"a[34]","1849 BP","1809 BP","1931 BP",1,7650
"a[35]","1563 BP","1493 BP","2432 BP",1.02,2055
"a[36]","1701 BP","1491 BP","3282 BP",1,10000
"a[37]","1510 BP","1412 BP","1935 BP",1,9627
"a[38]","1734 BP","1679 BP","1782 BP",1.01,316
"a[39]","1626 BP","1590 BP","1699 BP",1,6875
"a[40]","2060 BP","1957 BP","2715 BP",1.01,9575
"a[41]","2569 BP","587 BP","3918 BP",1,10000
"a[42]","1266 BP","1224 BP","1337 BP",1,3079
"a[43]","1287 BP","1216 BP","1451 BP",1,4499
"a[44]","1572 BP","1542 BP","1658 BP",1,6568
"a[45]","2118 BP","2020 BP","2727 BP",1.01,8155
"a[46]","1462 BP","1418 BP","1734 BP",1.01,2001
"a[47]","1394 BP","1339 BP","1537 BP",1,9814
"a[48]","1576 BP","1550 BP","1632 BP",1,4584
"a[49]","1693 BP","1633 BP","1827 BP",1,4118
"a[50]","2600 BP","619 BP","3932 BP",1,10000
"a[51]","1391 BP","1351 BP","1476 BP",1,8764
"a[52]","1222 BP","1124 BP","1509 BP",1,8458
"a[53]","1813 BP","1735 BP","2276 BP",1,7632
"a[54]","1808 BP","1746 BP","2061 BP",1,9368
"a[55]","1680 BP","1603 BP","1904 BP",1,7213
"a[56]","1754 BP","1717 BP","1836 BP",1.01,5302
"a[57]","1338 BP","1256 BP","1683 BP",1,9586
"a[58]","1044 BP","985 BP","1353 BP",1.01,5936
"a[59]","2576 BP","609 BP","3931 BP",1,10383
"a[60]","1689 BP","1626 BP","1819 BP",1,7694
"a[61]","1482 BP","1437 BP","1564 BP",1,6360
"a[62]","1438 BP","1390 BP","1572 BP",1,9628
"a[63]","1093 BP","1018 BP","1374 BP",1,9475
"a[64]","1988 BP","1772 BP","3472 BP",1,9952
"a[65]","1394 BP","1339 BP","1482 BP",1,8675
"a[66]","1515 BP","1454 BP","1638 BP",1,8435
"a[67]","1258 BP","1214 BP","1355 BP",1,5098
"a[68]","2585 BP","575 BP","3938 BP",1,10000
"a[69]","1738.5 BP","1680 BP","1878 BP",1,8991
"a[70]","1305 BP","1257 BP","1379 BP",1,7314
"a[71]","931 BP","856 BP","1091 BP",1,8589
"a[72]","1153 BP","1080 BP","1339 BP",1,7819
"a[73]","2002 BP","1777 BP","3499 BP",1,9856
"a[74]","1149 BP","1099 BP","1245 BP",1,6191
"a[75]","928 BP","855 BP","1061 BP",1,8498
"a[76]","1197 BP","1116 BP","1381 BP",1,7365
"a[77]","1503.5 BP","854 BP","3792 BP",1,10000
"a[78]","1712 BP","1638 BP","2039 BP",1.02,2549
"a[79]","1440.5 BP","797 BP","3754 BP",1,10000
"a[80]","787 BP","742 BP","908 BP",1.01,4255
"a[81]","1124 BP","965 BP","1989 BP",1,9740
