"","median_posterior","HPDI95_low","HPDI95_high","rhat","ESS"
"a[1]","5581 BP","5174 BP","6001 BP",1,9861
"a[2]","5760 BP","5706 BP","5949 BP",1,7562
"a[3]","6044 BP","5987 BP","6280 BP",1,8297
"a[4]","6271 BP","5899 BP","6621 BP",1,10104
"a[5]","6322 BP","5873 BP","6768 BP",1,10190
"a[6]","5590 BP","5579 BP","5616 BP",1,5003
"a[7]","5970 BP","5947 BP","6045 BP",1,8075
"a[8]","6203 BP","6144 BP","6393 BP",1,9964
"a[9]","6272 BP","6206 BP","6469 BP",1,10177
"a[10]","5543 BP","5510 BP","5685 BP",1,6155
"a[11]","5712 BP","5674 BP","5817 BP",1,8613
"a[12]","6041 BP","6004 BP","6169 BP",1,10576
"a[13]","6471 BP","6442 BP","6546 BP",1,9798
"a[14]","6337 BP","6021 BP","6659 BP",1,10000
"a[15]","5573 BP","5552 BP","5624 BP",1,8219
"a[16]","6118 BP","6089 BP","6195 BP",1,10000
"a[17]","6379 BP","6340 BP","6495 BP",1,9606
"a[18]","6345 BP","6306 BP","6453 BP",1,10288
"a[19]","5493 BP","5405 BP","5712 BP",1,10242
"a[20]","5808 BP","5775 BP","5898 BP",1,10000
"a[21]","6151 BP","6105 BP","6281 BP",1,9942
"a[22]","6485 BP","6441 BP","6596 BP",1,9694
"a[23]","6371 BP","6215 BP","6677 BP",1,10000
"a[24]","5659 BP","5647 BP","5698 BP",1.01,1101
"a[25]","6090 BP","6070 BP","6142 BP",1,9541
"a[26]","6363 BP","6310 BP","6494 BP",1,10787
"a[27]","6438 BP","6368 BP","6598 BP",1,10246
"a[28]","5485 BP","5464 BP","5548 BP",1,8245
"a[29]","5809 BP","5795 BP","5855 BP",1,9136
"a[30]","6147 BP","6117 BP","6225 BP",1,12059
"a[31]","6419 BP","6376 BP","6539 BP",1,9839
"a[32]","6342 BP","6043 BP","6651 BP",1,9700
"a[33]","5476 BP","5468 BP","5494 BP",1.01,606
"a[34]","5962 BP","5941 BP","6014 BP",1,8893
"a[35]","6200 BP","6151 BP","6333 BP",1,8107
"a[36]","6295 BP","6230 BP","6445 BP",1,9600
"a[37]","5399 BP","5375 BP","5479 BP",1,9527
"a[38]","5631 BP","5624 BP","5649 BP",1,1109
"a[39]","6064 BP","6024 BP","6149 BP",1,9857
"a[40]","6148 BP","6121 BP","6226 BP",1,9696
"a[41]","6194 BP","6094 BP","6442 BP",1,9694
"a[42]","5391 BP","5383 BP","5412 BP",1,1106
"a[43]","5748 BP","5736 BP","5780 BP",1,8042
"a[44]","5958 BP","5914 BP","6066 BP",1,9799
"a[45]","5916 BP","5898 BP","5993 BP",1,3315
"a[46]","5222 BP","5203 BP","5288 BP",1,9846
"a[47]","5511 BP","5502 BP","5534 BP",1,5075
"a[48]","5783 BP","5765 BP","5834 BP",1,9697
"a[49]","5960 BP","5929 BP","6048 BP",1,7297
"a[50]","5923 BP","5625 BP","6220 BP",1,9750
"a[51]","5148 BP","5139 BP","5170 BP",1,3818
"a[52]","5526 BP","5510 BP","5563 BP",1,9061
"a[53]","5812 BP","5766 BP","5934 BP",1,9853
"a[54]","5803 BP","5793 BP","5836 BP",1,2125
"a[55]","5112 BP","5092 BP","5175 BP",1,9683
"a[56]","5375 BP","5370 BP","5392 BP",1.02,553
"a[57]","5677 BP","5642 BP","5773 BP",1,9861
"a[58]","5669 BP","5638 BP","5754 BP",1,10521
"a[59]","5716 BP","5611 BP","5973 BP",1,9919
"a[60]","5070 BP","5055 BP","5110 BP",1,9205
"a[61]","5449 BP","5430 BP","5497 BP",1,7609
"a[62]","5491 BP","5456 BP","5602 BP",1,1841
"a[63]","5561 BP","5539 BP","5631 BP",1,7092
"a[64]","4992 BP","4949 BP","5126 BP",1,9116
"a[65]","5133 BP","5113 BP","5185 BP",1,9767
"a[66]","5338 BP","5281 BP","5508 BP",1,9741
"a[67]","5495 BP","5475 BP","5562 BP",1,6804
"a[68]","5469 BP","5168 BP","5774 BP",1,10412
"a[69]","4931 BP","4911 BP","4983 BP",1,10380
"a[70]","5153 BP","5123 BP","5246 BP",1,10174
"a[71]","5446 BP","5406 BP","5560 BP",1,9179
"a[72]","5299 BP","5275 BP","5356 BP",1,8953
"a[73]","4756 BP","4738 BP","4826 BP",1,6859
"a[74]","5054 BP","5029 BP","5109 BP",1,9701
"a[75]","5179 BP","5140 BP","5291 BP",1,10000
"a[76]","5290 BP","5240 BP","5444 BP",1,6333
"a[77]","5218 BP","5080 BP","5590 BP",1,8010
"a[78]","4808 BP","4768 BP","4942 BP",1,7743
"a[79]","5080 BP","5044 BP","5249 BP",1,6381
"a[80]","5325 BP","4990 BP","5658 BP",1,10169
"a[81]","5135 BP","5051 BP","5473 BP",1,9016
