"n_sites","n_areas","avg_precision_diff","sd_precision_diff"
0,6,"40 years","21 years"
1,4,"-8 years","13 years"
2,1,"-12 years","NA years"
3,6,"8 years","65 years"
4,3,"44 years","27 years"
5,6,"8 years","30 years"
6,2,"24 years","18 years"
7,8,"27 years","44 years"
8,5,"7 years","33 years"
9,1,"130 years","NA years"
10,5,"0 years","21 years"
11,3,"48 years","54 years"
12,2,"30 years","9 years"
13,7,"24 years","39 years"
14,2,"24 years","63 years"
15,1,"13 years","NA years"
16,5,"22 years","50 years"
17,2,"27 years","53 years"
18,2,"8 years","20 years"
20,1,"-1 years","NA years"
21,4,"26 years","32 years"
22,1,"29 years","NA years"
23,1,"-14 years","NA years"
24,1,"29 years","NA years"
26,1,"45 years","NA years"
27,1,"-61 years","NA years"
