"","median_posterior","HPDI95_low","HPDI95_high","rhat","ESS"
"a[1]","1765 BP","841 BP","2834 BP",1,4789
"a[2]","1819 BP","1114 BP","2610 BP",1,4201
"a[3]","1858 BP","1308 BP","2597 BP",1,18187
"a[4]","1668.5 BP","1035 BP","2396 BP",1,3729
"a[5]","1872 BP","1315 BP","2489 BP",1,5622
"a[6]","2200 BP","1846 BP","2737 BP",1,15603
"a[7]","1350 BP","920 BP","2023 BP",1,7048
"a[8]","1736 BP","1216 BP","2320 BP",1,4531
"a[9]","2122 BP","1963 BP","2457 BP",1,13472
"a[10]","2293 BP","1661 BP","2921 BP",1,9449
"a[11]","1372.5 BP","743 BP","2057 BP",1,6173
"a[12]","1624 BP","1129 BP","2161 BP",1,5968
"a[13]","1680 BP","1278 BP","2185 BP",1,10495
"a[14]","2308 BP","2170 BP","2544 BP",1,30688
"a[15]","2124 BP","1506 BP","2879 BP",1,12519
"a[16]","1426 BP","598 BP","2312 BP",1,8578
"a[17]","1538 BP","1032 BP","2055 BP",1,7854
"a[18]","1490 BP","1375 BP","1699 BP",1,33054
"a[19]","1754 BP","1270 BP","2216 BP",1,22445
"a[20]","2147 BP","1628 BP","2656 BP",1,12398
"a[21]","1404 BP","1249 BP","1801 BP",1,10073
"a[22]","1652 BP","1462 BP","2005 BP",1,21024
"a[23]","1384 BP","1246 BP","1562 BP",1,8584
"a[24]","1841 BP","1472 BP","2307 BP",1,10567
"a[25]","2158 BP","1606 BP","2737 BP",1,7848
"a[26]","2040 BP","1163 BP","2913 BP",1,11197
"a[27]","1803 BP","1602 BP","2285 BP",1,5713
"a[28]","1562 BP","1381 BP","1868 BP",1,4916
"a[29]","1786 BP","1656 BP","2001 BP",1,23899
"a[30]","1648 BP","1401 BP","1995 BP",1,21433
"a[31]","2215 BP","2043 BP","2525 BP",1,22551
"a[32]","2109 BP","1491 BP","2734 BP",1,10631
"a[33]","2021 BP","1591 BP","2598 BP",1,14075
"a[34]","2374 BP","1719 BP","3008 BP",1,10166
"a[35]","1709 BP","928 BP","2509 BP",1,13971
"a[36]","2154 BP","1977 BP","2419 BP",1,25216
"a[37]","1602 BP","1458 BP","1847 BP",1,32977
"a[38]","2259 BP","1979 BP","2568 BP",1,14425
"a[39]","2049 BP","1616 BP","2541 BP",1,8688
"a[40]","2002 BP","1421 BP","2547 BP",1,11147
"a[41]","2565 BP","2386 BP","2812 BP",1,12053
"a[42]","2688 BP","1934 BP","3493 BP",1,4757
"a[43]","1791 BP","1550 BP","2260 BP",1,19822
"a[44]","1941 BP","1769 BP","2213 BP",1,21025
"a[45]","1770 BP","1445 BP","2205 BP",1,14452
"a[46]","1973 BP","1618 BP","2415 BP",1,21170
"a[47]","1797 BP","1482 BP","2272 BP",1,15116
"a[48]","2340 BP","1817 BP","2874 BP",1,2478
"a[49]","2850 BP","2238 BP","3471 BP",1,2052
"a[50]","2377 BP","2118 BP","2925 BP",1,9765
"a[51]","1934 BP","1405 BP","2463 BP",1,11362
"a[52]","1984 BP","1527 BP","2485 BP",1,12659
"a[53]","1870 BP","1643 BP","2216 BP",1,20394
"a[54]","2132 BP","1623 BP","2661 BP",1,3638
"a[55]","2308 BP","1948 BP","2744 BP",1,7332
"a[56]","2518 BP","1893 BP","3221 BP",1,3041
"a[57]","2097 BP","1420 BP","2865 BP",1,7841
"a[58]","2220 BP","1847 BP","2810 BP",1,7651
"a[59]","1832 BP","1610 BP","2182 BP",1,16639
"a[60]","2163 BP","1918 BP","2535 BP",1,13842
"a[61]","1960 BP","1696 BP","2402 BP",1,8721
"a[62]","2409 BP","2254 BP","2676 BP",1,11450
"a[63]","1844.5 BP","1309 BP","2761 BP",1,13662
"a[64]","2332 BP","1828 BP","2925 BP",1,5252
"a[65]","2167 BP","1681 BP","2697 BP",1,4503
"a[66]","2043 BP","1546 BP","2524 BP",1,14865
"a[67]","1913 BP","1707 BP","2194 BP",1,17829
"a[68]","2169 BP","1509 BP","2952 BP",1,2269
"a[69]","2621 BP","1457 BP","3868 BP",1,6315
"a[70]","2271 BP","1740 BP","2863 BP",1,5339
"a[71]","2405 BP","1873 BP","2933 BP",1,7199
"a[72]","1940 BP","1765 BP","2190 BP",1,22203
"a[73]","2092 BP","1634 BP","2691 BP",1,2901
"a[74]","2483 BP","1758 BP","3288 BP",1,5494
"a[75]","2440 BP","1877 BP","3079 BP",1,7158
"a[76]","2366 BP","2194 BP","2707 BP",1,10388
"a[77]","1925 BP","1371 BP","2566 BP",1,1815
"a[78]","2233 BP","1448 BP","3155 BP",1,2090
"a[79]","2381 BP","1869 BP","3184 BP",1,7628
"a[80]","2564 BP","2174 BP","3293 BP",1,12487
"a[81]","1992 BP","1772 BP","2454 BP",1,19962
"a[82]","2159 BP","1418 BP","3026 BP",1.01,1486
"a[83]","2144 BP","1199 BP","3190 BP",1,2237
